TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,STORENUMBER
163,YES,Store Search in Frame_Tag Requests,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Frame/Tag Requests,5101
164,YES,Store Search in Store Directory (for stores),,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Store Directory (for stores),5101
165,YES,Store Search in SDS Store Export,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,SDS Store Export,5101
166,YES,Store Search in Location Info for DM,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Location Info for DM,5101
167,YES,Store Search in Location Info,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Location Info,5101
168,YES,Store Search in Locator (W2GI),,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Locator (W2GI),5101
169,YES,Store Search in Alignment By Store,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Alignment By Store,5101
170,YES,Store Search in Store POS,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Store POS,5101
171,YES,Store Search in Store LAN,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Store LAN,5101
172,YES,Store Search in Relocation History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Relocation History,5101
173,YES,Store Search in Relocation,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Relocation,5101
174,YES,Store Search in Remodel,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Remodel,5101
175,YES,Store Search in Closing,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Closing,5101
176,YES,Store Search in Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Schedule,5101
177,YES,Store Search in Audit,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Audit,5101
178,YES,Store Search in Companies,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Org Units,Companies,5101
179,YES,Store Search in Stores,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Org Units,Stores,5101
180,YES,Store Search in Appointments Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Scheduler Admin,Schedule,Appointments Search,5101
181,YES,Store Search in Monthly Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Scheduler Admin,Schedule,Monthly Schedule,5101
182,YES,Store Search in Weekly Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Scheduler Admin,Schedule,Weekly Schedule,5101
